comune_codice;comune_descr
AGN;AGNADELLO
ALO;ALAGNA LOMELLINA
AAR;ALBAREDO ARNABOLDI
ALB;ALBIATE
ABU;ALBUZZANO
ARP;ARENA PO
AZZ;AZZANO SAN PAOLO
BDP;BADIA PAVESE
BIA;BAGNARIA
BGN;BAGNOLO CREMASCO
BAO;BARBIANELLO
BRN;BARIANO
BSE;BASCAPE'
BPN;BASTIDA PANCARANA
BAT;BATTUDA
BEG;BELGIOIOSO
BLZ;BELLINZAGO LOMBARDO
BEO;BEREGUARDO
BRG;BERGAMO
BSB;BESANA BRIANZA
BTE;BESATE
BSS;BIASSONO
BIN;BINASCO
BFL;BOFFALORA D'ADDA
BLO;BORGARELLO
BPR;BORGO PRIOLO
BSG;BORGO S.GIACOMO
BSR;BORGO S.SIRO
BMO;BORGORATTO MORMOROLO
BSO;BORNASCO
BCO;BOSNASCO
BVS;BOVISIO-MASCIAGO
BRL;BRALLO DI PREGOLA
BRM;BREME
BRB;BRESSANA BOTTARONE
BRS;BRIOSCO
BRO;BRONI
BRU;BRUGHERIO
BUB;BUBBIANO
CLV;CALVENZANO
CVG;CALVIGNANO
CGA;CALVIGNASCO
CMS;CAMISANO
CPS;CAMPOSPINOSO
CML;CANDIA LOMELLINA
CPE;CANNETO PAVESE
CRB;CARATE BRIANZA
CRG;CARAVAGGIO
CTI;CARBONARA AL TICINO
CRP;CARPIANO
CSC;CASALE CREMASCO
CMO;CASALE MONFERRATO
CSS;CASALETTO DI SOPRA
CVA;CASALETTO VAPRIO
CSM;CASALMAIOCCO
CVN;CASANOVA LONATI
CAE;CASARILE
CSV;CASATENOVO
CTS;CASATISMA
CGE;CASEI GEROLA
CPR;CASORATE PRIMO
CSD;CASSANO D'ADDA
CVO;CASSOLNOVO
CNA;CASTANA
CIG;CASTEGGIO
CSG;CASTEL GABBIANO
CGI;CASTEL S.GIOVANNI
CBR;CASTELLETTO BR.
CAA;CASTELLO D'AGOGNA
CMR;CAVA MANARA
CCI;CECIMA
CRA;CERANO
CEA;CERANOVA
CGO;CERGNAGO
CSN;CERNUSCO SUL NAVIGLIO
CRL;CERRO AL LAMBRO
CPA;CERTOSA DI PAVIA
CVE;CERVESINA
CEM;CESANO MADERNO
CHV;CHIEVE
CHP;CHIGNOLO PO
CLA;CIGOGNOLA
CIL;CILAVEGNA
CNB;CINISELLO BALSAMO
CDL;CODEVILLA
CGN;COLOGNO AL SERIO
CLM;COLOGNO MONZESE
CLT;COLTURANO
CMZ;COMAZZO
CPN;COPIANO
COA;CORANA
CNE;CORNALE
CLO;CORTEOLONA GENZONE
CSQ;CORVINO S.QUIRICO
CDN;COSTA DE' NOBILI
CRM;CREMA
CRS;CREMOSANO
CRC;CRESPIATICA
CMG;CUMIGNANO SUL NAVIGLIO
CCR;CURA CARPIGNANO
CUS;CUSANO MILANINO
DES;DESIO
DOR;DORNO
DVR;DOVERA
DRS;DRESANO
FOS;FARA OLIVANA CON SOLA
FGH;FILIGHERA
FRN;FORNOVO SAN GIOVANNI
FTU;FORTUNAGO
FLO;FRASCAROLO
GLA;GALLIAVOLA
GNA;GAMBARANA
GMB;GAMBOLO'
GCO;GARLASCO
GZN;GENZONE
GZG;GERENZAGO
GST;GESSATE
GGO;GIUSSAGO
GSN;GIUSSANO
GDI;GODIASCO
GFE;GOLFERENZO
GNG;GORGONZOLA
GLO;GRAVELLONA LOMELLINA
GCA;GROPELLO CAIROLI
IMO;INVERNO MONTELEONE
INZ;INZAGO
LCH;LACCHIARELLA
LDN;LANDRIANO
LDI;LARDIRAGO
LMB;LIMBIATE
LIN;LINAROLO
LIR;LIRIO
LSC;LISCATE
LSS;LISSONE
LCT;LOCATE TRIULZI
LOD;LODI
LOM;LOMELLO
LUN;LUNGAVILLA
MCH;MACHERIO
MAG;MAGHERNO
MGO;MARCIGNAGO
MRN;MARIANO COMENSE
MZO;MARZANO
MDE;MEDE
MDL;MEDIGLIA
MLG;MELEGNANO
MLZ;MELZO
MEN;MENCONICO
MRL;MERLINO
MZB;MEZZANA BIGLI
MRB;MEZZANA RABATTONE
MZA;MEZZANINO
MLN;MILANO
MTE;MIRADOLO TERME
MSG;MISANO DI GERA D'ADDA
MDT;MOLINO DEI TORTI
MPE;MONTALTO PAVESE
MNT;MONTE CREMASCO
MBA;MONTEBELLO BATT.
MVE;MONTECALVO VERSIGGIA
MNO;MONTESCANO
MPA;MONTICELLI PAVESE
MTC;MONTICELLO BRIANZA
MBE;MONTU' BECCARIA
MNZ;MONZA
MRG;MORENGO
MRA;MORTARA
MVT;MOTTA VISCONTI
MZZ;MOZZANICA
MGG;MUGGIO'
MZN;MULAZZANO
NVM;NOVA MILANESE
NOR;NOVARA
OFN;OFFANENGO
OGE;OLIVA GESSI
OPR;OPERA
OZN;ORZINUOVI
OZV;ORZIVECCHI
OBI;OTTOBIANO
PDD;PADERNO DUGNANO
PLZ;PALAZZO PIGNANO
PNA;PANCARANA
PND;PANDINO
PNT;PANTIGLIATE
PRN;PARONA
PLL;PAULLO
PAV;PAVIA
PRR;PESCHIERA BORROMEO
PNG;PIANENGO
PRC;PIERANICA
PIG;PIETRA DE GIORGI
PLA;PIEVE ALBIGNOLA
PIC;PIEVE DEL CAIRO
PVM;PIEVE EMANUELE
PPM;PIEVE P.TO MORONE
PIP;PINAROLO PO
PLT;PIOLTELLO
PIZ;PIZZALE
PMP;POMPIANO
PNZ;PONTE NIZZA
PBR;PORTALBERA
PZM;POZZUOLO MARTESANA
QNT;QUINTANO
QNZ;QUINZANO D'OGLIO
REA;REA
RED;REDAVALLE
RNT;RENATE
RET;RETORBIDO
RCG;RICENGO
RZA;RIVANAZZANO
RVD;RIVOLTA D'ADDA
ROP;ROBECCO PAVESE
ROG;ROCCA DE GIORGI
ROS;ROCCA SUSELLA
RDN;RODANO
ROO;ROGNANO
ROM;ROMAGNESE
RMN;ROMANENGO
ROR;RONCARO
RTE;ROSATE
ROE;ROVESCALA
RUI;RUINO
SVI;S.ALESSIO CON VIALONE
SPO;S.CIPRIANO PO
SCB;S.CRISTINA BISSONE
SDC;S.DAMIANO AL COLLE
SDN;S.DONATO MILANESE
SGU;S.GENESIO UNITI
SGG;S.GIORGIO LOMELLINA
SGN;S.GIULIANO MILANESE
SMA;S.MARGHERITA STAFFORA
SMV;S.MARIA DELLA VERSA
SMS;S.MARTINO SICCOMARIO
SZL;S.ZENONE AL LAMBRO
SZP;S.ZENONE PO
SNB;SANNAZZARO DE' BURGONDI
SGT;SANTA GIULETTA
SRL;SARTIRANA LOMELLINA
SLL;SCALDASOLE
SGR;SEGRATE
SNG;SENAGO
SER;SEREGNO
SRG;SERGNANO
SSG;SESTO S.GIOVANNI
STT;SETTALA
SPT;SILVANO PIETRA
SZI;SIZIANO
SOM;SOMMO
SNC;SONCINO
SOD;SORDIO
SVC;SOVICO
SSS;SPESSA
SPN;SPINO D'ADDA
STR;STRADELLA
SUA;SUARDI
TCN;TICENGO
TRL;TORLINO VIMERCATI
TCO;TORRAZZA COSTE
TBE;TORRE BERETTI
TAR;TORRE D'ARESE
TIS;TORRE D'ISOLA
TNE;TORRE DE' NEGRI
TPI;TORREVECCHIA PIA
TVE;TORRICELLA VERZATE
TSI;TRAVACO SICCOMARIO
TTE;TRECATE
TRS;TRESCORE CREMASCO
TRV;TREVIGLIO
TRB;TRIBIANO
TRG;TRIUGGIO
TZI;TRIVOLZIO
TLO;TROMELLO
TRO;TROVO
TRC;TRUCCAZZANO
URG;URGNANO
VNC;VAIANO CREMASCO
VLT;VAILATE
VNI;VAL DI NIZZA
VAP;VALEGGIO
VAZ;VALENZA
VFT;VALERA FRATTA
VLN;VALLE LOMELLINA
VSA;VALLE SALIMBENE
VVD;VALVERDE
VRD;VAREDO
VZI;VARZI
VDN;VEDANO AL LAMBRO
VDG;VEDUGGIO CON COLZANO
VBL;VELLEZZO BELLINI
VRB;VERANO BRIANZA
VTE;VERNATE
VRN;VEROLANUOVA
VRV;VEROLAVECCHIA
VRT;VERRETTO
VER;VERRUA PO
VDF;VIDIGULFO
VGV;VIGEVANO
VGN;VIGNATE
VLC;VILLACHIARA
VDA;VILLANOVA D'ARDENGHI
VLR;VILLANTERIO
VIS;VISTARINO
VZZ;VIZZOLO PREDABISSI
VHR;VOGHERA
VOL;VOLPARA
ZNC;ZANICA
ZAV;ZAVATTARELLO
ZEC;ZECCONE
ZBP;ZELO BUON PERSICO
ZEM;ZEME
ZEB;ZERBO
ZBO;ZERBOLO'
ZGM;ZIBIDO S.GIACOMO
ZIN;ZINASCO
